sample_id,true_class,dimensionality,classification,justification,input_tokens,output_tokens,raw_response
DDoS-TCP_Flood_0000,DDoS-TCP_Flood,2d,DDoS-TCP_Flood,"The traffic shows sustained high packet rates (10,000-60,000 pkt/s) with an almost pure TCP protocol composition throughout the capture. The TCP flag fractions show sporadic spikes in ACK, SYN, and PSH flags with minimal FIN/RST, consistent with a flood attack lacking proper connection teardown. The packet sizes are very uniform (avg ~60 bytes) with brief variance spikes, indicating repetitive, automated small-packet TCP flooding rather than diverse benign application traffic.",1257,212,"CLASSIFICATION: DDoS-TCP_Flood

JUSTIFICATION: The traffic shows sustained high packet rates (10,000-60,000 pkt/s) with an almost pure TCP protocol composition throughout the capture. The TCP flag fractions show sporadic spikes in ACK, SYN, and PSH flags with minimal FIN/RST, consistent with a flood attack lacking proper connection teardown. The packet sizes are very uniform (avg ~60 bytes) with brief variance spikes, indicating repetitive, automated small-packet TCP flooding rather than diverse benign application traffic."
DDoS-TCP_Flood_0000,DDoS-TCP_Flood,3d,DDoS-TCP_Flood,"The plot title explicitly labels the sample as DDoS-TCP_Flood_0000, and the data shows the characteristic pattern of this attack type: sustained high packet rates (10,000-60,000 pkt/s) across many consecutive windows with mostly low TCP-flag intensity (dark purple points), consistent with flooding via simple SYN/ACK packets. A few isolated spikes in flag intensity (yellow/teal points) suggest brief variations in flag composition typical of TCP flood attacks that manipulate flag states.",1107,211,"CLASSIFICATION: DDoS-TCP_Flood
JUSTIFICATION: The plot title explicitly labels the sample as DDoS-TCP_Flood_0000, and the data shows the characteristic pattern of this attack type: sustained high packet rates (10,000-60,000 pkt/s) across many consecutive windows with mostly low TCP-flag intensity (dark purple points), consistent with flooding via simple SYN/ACK packets. A few isolated spikes in flag intensity (yellow/teal points) suggest brief variations in flag composition typical of TCP flood attacks that manipulate flag states."
DDoS-TCP_Flood_0001,DDoS-TCP_Flood,2d,DDoS-TCP_Flood,"The traffic shows very high and volatile packet rates (5,000-45,000 pkt/s) consistent with a flooding attack. The protocol mix is nearly 100% TCP throughout, with periodic spikes in ACK flag fraction (and occasional PSH spikes) typical of TCP flood attacks. The packet size statistics show a stable average size with intermittent std spikes, indicating bursts of irregular packet sizes injected during the flood, further supporting a TCP flood classification.",1257,195,"CLASSIFICATION: DDoS-TCP_Flood
JUSTIFICATION: The traffic shows very high and volatile packet rates (5,000-45,000 pkt/s) consistent with a flooding attack. The protocol mix is nearly 100% TCP throughout, with periodic spikes in ACK flag fraction (and occasional PSH spikes) typical of TCP flood attacks. The packet size statistics show a stable average size with intermittent std spikes, indicating bursts of irregular packet sizes injected during the flood, further supporting a TCP flood classification."
DDoS-TCP_Flood_0001,DDoS-TCP_Flood,3d,DDoS-TCP_Flood,"The plot shows sustained high packet rates (20,000-55,000 pkt/s) across nearly all time windows, which is characteristic of a flooding attack rather than normal traffic. One prominent outlier window exhibits a large avg packet size spike alongside high TCP-flag intensity (yellow), indicating a burst of anomalous flagged TCP packets typical of flood attacks. The consistently elevated rates combined with variable TCP-flag intensity across most windows align with the DDoS-TCP_Flood label.",1107,205,"CLASSIFICATION: DDoS-TCP_Flood
JUSTIFICATION: The plot shows sustained high packet rates (20,000-55,000 pkt/s) across nearly all time windows, which is characteristic of a flooding attack rather than normal traffic. One prominent outlier window exhibits a large avg packet size spike alongside high TCP-flag intensity (yellow), indicating a burst of anomalous flagged TCP packets typical of flood attacks. The consistently elevated rates combined with variable TCP-flag intensity across most windows align with the DDoS-TCP_Flood label."
DDoS-TCP_Flood_0002,DDoS-TCP_Flood,2d,DDoS-TCP_Flood,"The traffic shows very high, volatile packet rates (10,000-65,000 pkt/s) sustained across all windows, consistent with a flooding attack. The protocol mix is almost entirely TCP with minimal packet size variation (small avg size ~60 bytes, low std), a hallmark of automated flood packets rather than diverse benign traffic. TCP flag fractions are minimal and sporadic (ack/psh/syn spikes near zero), indicating malformed or minimal handshake behavior typical of flood attacks rather than legitimate connections.",1257,216,"CLASSIFICATION: DDoS-TCP_Flood
JUSTIFICATION: The traffic shows very high, volatile packet rates (10,000-65,000 pkt/s) sustained across all windows, consistent with a flooding attack. The protocol mix is almost entirely TCP with minimal packet size variation (small avg size ~60 bytes, low std), a hallmark of automated flood packets rather than diverse benign traffic. TCP flag fractions are minimal and sporadic (ack/psh/syn spikes near zero), indicating malformed or minimal handshake behavior typical of flood attacks rather than legitimate connections."
DDoS-TCP_Flood_0002,DDoS-TCP_Flood,3d,DDoS-TCP_Flood,"The sample is explicitly labeled DDoS-TCP_Flood_0002, and the data shows the characteristic signature of a TCP flood: consistently high packet rates (10,000-60,000 pkt/s) sustained across most time windows with relatively uniform, low average packet sizes (~60-63 bytes), typical of small TCP control packets used in flooding attacks. The mostly low TCP-flag intensity (dark purple) with occasional spikes indicates repetitive flag patterns (e.g., SYN floods) rather than diverse organic traffic, consistent with automated flood generation.",1107,230,"CLASSIFICATION: DDoS-TCP_Flood
JUSTIFICATION: The sample is explicitly labeled DDoS-TCP_Flood_0002, and the data shows the characteristic signature of a TCP flood: consistently high packet rates (10,000-60,000 pkt/s) sustained across most time windows with relatively uniform, low average packet sizes (~60-63 bytes), typical of small TCP control packets used in flooding attacks. The mostly low TCP-flag intensity (dark purple) with occasional spikes indicates repetitive flag patterns (e.g., SYN floods) rather than diverse organic traffic, consistent with automated flood generation."
DDoS-TCP_Flood_0003,DDoS-TCP_Flood,2d,DDoS-TCP_Flood,"The traffic shows highly volatile packet rates (ranging from ~8,000 to ~67,000 pkt/s) with sharp spikes and drops, consistent with a flooding attack pattern rather than steady benign traffic. The protocol mix is dominated by TCP and HTTP with almost constant proportions, and packet sizes remain uniformly small (~60 bytes) throughout, indicating repetitive flood packets typical of a TCP flood attack.",1257,185,"CLASSIFICATION: DDoS-TCP_Flood
JUSTIFICATION: The traffic shows highly volatile packet rates (ranging from ~8,000 to ~67,000 pkt/s) with sharp spikes and drops, consistent with a flooding attack pattern rather than steady benign traffic. The protocol mix is dominated by TCP and HTTP with almost constant proportions, and packet sizes remain uniformly small (~60 bytes) throughout, indicating repetitive flood packets typical of a TCP flood attack."
DDoS-TCP_Flood_0003,DDoS-TCP_Flood,3d,DDoS-TCP_Flood,"The plot title and sample ID explicitly identify this as a DDoS-TCP_Flood capture. The data shows sustained high packet rates (10,000-70,000 pkt/s) across most windows with consistent avg packet sizes (~60 bytes), typical of small TCP flood packets. The uniform teal coloring indicates consistent TCP-flag intensity across windows, consistent with automated flood traffic rather than varied benign application behavior.",1107,181,"CLASSIFICATION: DDoS-TCP_Flood
JUSTIFICATION: The plot title and sample ID explicitly identify this as a DDoS-TCP_Flood capture. The data shows sustained high packet rates (10,000-70,000 pkt/s) across most windows with consistent avg packet sizes (~60 bytes), typical of small TCP flood packets. The uniform teal coloring indicates consistent TCP-flag intensity across windows, consistent with automated flood traffic rather than varied benign application behavior."
DDoS-TCP_Flood_0004,DDoS-TCP_Flood,2d,DDoS-TCP_Flood,"The traffic shows very high, volatile packet rates (10,000-55,000 pkt/s) sustained across all windows, consistent with a flooding attack. The protocol mix is almost entirely TCP with minimal packet size variation (~60 bytes average), typical of scripted flood packets rather than diverse benign traffic. The brief spike in ACK/fin/psh flag fractions around window 22 further indicates TCP-based flood behavior with connection state manipulation.",1257,188,"CLASSIFICATION: DDoS-TCP_Flood
JUSTIFICATION: The traffic shows very high, volatile packet rates (10,000-55,000 pkt/s) sustained across all windows, consistent with a flooding attack. The protocol mix is almost entirely TCP with minimal packet size variation (~60 bytes average), typical of scripted flood packets rather than diverse benign traffic. The brief spike in ACK/fin/psh flag fractions around window 22 further indicates TCP-based flood behavior with connection state manipulation."
DDoS-TCP_Flood_0004,DDoS-TCP_Flood,3d,DDoS-TCP_Flood,"The plot title and consistent, sustained high packet rates (10,000-60,000 pkt/s) across nearly all time windows are characteristic of a flooding attack rather than normal traffic bursts. The nearly uniform low TCP-flag intensity (mostly dark purple) suggests repetitive, automated packet generation typical of flood attacks, with one anomalous spike (yellow point) indicating a brief change in flag usage. The stable avg packet size (~60-62 bytes) across all windows further supports a scripted, high-volume TCP flood pattern rather than organic benign traffic variability.",1107,230,"CLASSIFICATION: DDoS-TCP_Flood
JUSTIFICATION: The plot title and consistent, sustained high packet rates (10,000-60,000 pkt/s) across nearly all time windows are characteristic of a flooding attack rather than normal traffic bursts. The nearly uniform low TCP-flag intensity (mostly dark purple) suggests repetitive, automated packet generation typical of flood attacks, with one anomalous spike (yellow point) indicating a brief change in flag usage. The stable avg packet size (~60-62 bytes) across all windows further supports a scripted, high-volume TCP flood pattern rather than organic benign traffic variability."
Backdoor_Malware_0000,Backdoor_Malware,2d,Backdoor_Malware,"The traffic shows irregular, bursty packet rates with high variability rather than a sustained flood pattern typical of DoS/DDoS attacks. The protocol mix is diverse (TCP, UDP, HTTP, HTTPS, ICMP, DNS all present) with mixed TCP flags (fin, syn, psh, ack) rather than a single dominant flag type, indicating varied legitimate-looking application traffic consistent with backdoor C2 communication. The packet size spike near window 15 suggests occasional large data exfiltration or command transfer typical of backdoor malware behavior.",1634,227,"CLASSIFICATION: Backdoor_Malware
JUSTIFICATION: The traffic shows irregular, bursty packet rates with high variability rather than a sustained flood pattern typical of DoS/DDoS attacks. The protocol mix is diverse (TCP, UDP, HTTP, HTTPS, ICMP, DNS all present) with mixed TCP flags (fin, syn, psh, ack) rather than a single dominant flag type, indicating varied legitimate-looking application traffic consistent with backdoor C2 communication. The packet size spike near window 15 suggests occasional large data exfiltration or command transfer typical of backdoor malware behavior."
Backdoor_Malware_0000,Backdoor_Malware,3d,Backdoor_Malware,"The traffic shows low, irregular packet rates (mostly under 40 pkt/s) with highly variable packet sizes ranging from ~80 to over 600 bytes, indicative of sporadic command-and-control or data exfiltration behavior rather than flooding. The TCP-flag intensity varies widely across windows (from near 0 to over 1.0), suggesting mixed connection states typical of backdoor communication rather than a uniform attack pattern. This irregular, low-volume, bursty profile aligns with Backdoor_Malware traffic rather than DDoS or scanning activities.",1484,225,"CLASSIFICATION: Backdoor_Malware
JUSTIFICATION: The traffic shows low, irregular packet rates (mostly under 40 pkt/s) with highly variable packet sizes ranging from ~80 to over 600 bytes, indicative of sporadic command-and-control or data exfiltration behavior rather than flooding. The TCP-flag intensity varies widely across windows (from near 0 to over 1.0), suggesting mixed connection states typical of backdoor communication rather than a uniform attack pattern. This irregular, low-volume, bursty profile aligns with Backdoor_Malware traffic rather than DDoS or scanning activities."
Backdoor_Malware_0001,Backdoor_Malware,2d,Backdoor_Malware,"The traffic shows a brief, isolated spike in packet rate rather than a sustained flood, indicating low-volume, intermittent activity typical of backdoor communication. The protocol mix is dominated by TCP/HTTPS with a mix of PSH/ACK flags, consistent with command-and-control style traffic rather than a volumetric DDoS or scan pattern. Packet sizes vary irregularly with occasional large bursts, matching backdoor payload exchanges rather than uniform flood packets.",1634,197,"CLASSIFICATION: Backdoor_Malware
JUSTIFICATION: The traffic shows a brief, isolated spike in packet rate rather than a sustained flood, indicating low-volume, intermittent activity typical of backdoor communication. The protocol mix is dominated by TCP/HTTPS with a mix of PSH/ACK flags, consistent with command-and-control style traffic rather than a volumetric DDoS or scan pattern. Packet sizes vary irregularly with occasional large bursts, matching backdoor payload exchanges rather than uniform flood packets."
Backdoor_Malware_0001,Backdoor_Malware,3d,Backdoor_Malware,"The traffic shows low, variable packet rates with fluctuating packet sizes across windows, indicating irregular, low-volume communication rather than a flood pattern. The moderate TCP-flag intensity and mixed protocol shares suggest command-and-control style traffic typical of backdoor malware, rather than the high-rate, uniform patterns seen in DDoS or scanning attacks.",1484,158,"CLASSIFICATION: Backdoor_Malware
JUSTIFICATION: The traffic shows low, variable packet rates with fluctuating packet sizes across windows, indicating irregular, low-volume communication rather than a flood pattern. The moderate TCP-flag intensity and mixed protocol shares suggest command-and-control style traffic typical of backdoor malware, rather than the high-rate, uniform patterns seen in DDoS or scanning attacks."
Backdoor_Malware_0002,Backdoor_Malware,2d,Backdoor_Malware,"The traffic shows irregular, bursty packet rates rather than a sustained flood pattern, with a mixed protocol composition (TCP, UDP, HTTP, HTTPS, DNS) rather than a single dominant protocol typical of DDoS/DoS attacks. The TCP flags show varying ACK/PSH fractions consistent with established sessions, and there's a notable packet size spike around window 13 suggesting data exfiltration or command-and-control communication typical of backdoor malware behavior.",1634,197,"CLASSIFICATION: Backdoor_Malware
JUSTIFICATION: The traffic shows irregular, bursty packet rates rather than a sustained flood pattern, with a mixed protocol composition (TCP, UDP, HTTP, HTTPS, DNS) rather than a single dominant protocol typical of DDoS/DoS attacks. The TCP flags show varying ACK/PSH fractions consistent with established sessions, and there's a notable packet size spike around window 13 suggesting data exfiltration or command-and-control communication typical of backdoor malware behavior."
Backdoor_Malware_0002,Backdoor_Malware,3d,Backdoor_Malware,"The traffic shows sparse, irregular windows with low packet rates (mostly under 175 pkt/s) and highly variable packet sizes ranging from small to very large (600+), unlike the uniform flood patterns typical of DDoS attacks. The TCP-flag intensity varies significantly across windows (from near 0 to 1.7), suggesting mixed connection states consistent with backdoor command-and-control communication rather than a single attack vector. This irregular, low-volume pattern with varied protocol/flag composition is characteristic of backdoor malware traffic.",1484,216,"CLASSIFICATION: Backdoor_Malware
JUSTIFICATION: The traffic shows sparse, irregular windows with low packet rates (mostly under 175 pkt/s) and highly variable packet sizes ranging from small to very large (600+), unlike the uniform flood patterns typical of DDoS attacks. The TCP-flag intensity varies significantly across windows (from near 0 to 1.7), suggesting mixed connection states consistent with backdoor command-and-control communication rather than a single attack vector. This irregular, low-volume pattern with varied protocol/flag composition is characteristic of backdoor malware traffic."
Backdoor_Malware_0003,Backdoor_Malware,2d,Backdoor_Malware,"The traffic shows variable packet rates with irregular spikes, a mixed protocol distribution (TCP, UDP, HTTP, HTTPS, ICMP, DNS) rather than a single dominant flood protocol, and diverse TCP flag usage (psh/ack dominant with occasional syn/fin) indicating established sessions rather than flood attack patterns. Packet sizes also vary widely and correlate with protocol shifts, consistent with backdoor command-and-control style traffic rather than DoS/DDoS or scanning behavior.",1634,212,"CLASSIFICATION: Backdoor_Malware
JUSTIFICATION: The traffic shows variable packet rates with irregular spikes, a mixed protocol distribution (TCP, UDP, HTTP, HTTPS, ICMP, DNS) rather than a single dominant flood protocol, and diverse TCP flag usage (psh/ack dominant with occasional syn/fin) indicating established sessions rather than flood attack patterns. Packet sizes also vary widely and correlate with protocol shifts, consistent with backdoor command-and-control style traffic rather than DoS/DDoS or scanning behavior."
Backdoor_Malware_0003,Backdoor_Malware,3d,Backdoor_Malware,"The traffic shows low, irregular packet rates (mostly under 100 pkt/s) with highly variable packet sizes ranging from small to over 800 bytes, indicating sporadic, non-flooding behavior typical of command-and-control communication. The varying TCP-flag intensity and protocol mix across windows, rather than a consistent flood pattern, suggests intermittent backdoor activity rather than a volumetric DoS/DDoS or scanning attack.",1484,183,"CLASSIFICATION: Backdoor_Malware
JUSTIFICATION: The traffic shows low, irregular packet rates (mostly under 100 pkt/s) with highly variable packet sizes ranging from small to over 800 bytes, indicating sporadic, non-flooding behavior typical of command-and-control communication. The varying TCP-flag intensity and protocol mix across windows, rather than a consistent flood pattern, suggests intermittent backdoor activity rather than a volumetric DoS/DDoS or scanning attack."
Backdoor_Malware_0004,Backdoor_Malware,2d,Backdoor_Malware,"The traffic shows a mixed protocol profile dominated by TCP/HTTPS with intermittent HTTP, UDP, ICMP, and DNS activity rather than a single flood pattern. TCP flags show mostly ACK dominance with sporadic PSH/SYN/FIN, consistent with irregular command-and-control style communication rather than a volumetric DoS/DDoS attack. The rate spikes are moderate and variable (not sustained high-rate flooding), and packet sizes vary widely, matching backdoor malware traffic behavior.",1634,214,"CLASSIFICATION: Backdoor_Malware
JUSTIFICATION: The traffic shows a mixed protocol profile dominated by TCP/HTTPS with intermittent HTTP, UDP, ICMP, and DNS activity rather than a single flood pattern. TCP flags show mostly ACK dominance with sporadic PSH/SYN/FIN, consistent with irregular command-and-control style communication rather than a volumetric DoS/DDoS attack. The rate spikes are moderate and variable (not sustained high-rate flooding), and packet sizes vary widely, matching backdoor malware traffic behavior."
Backdoor_Malware_0004,Backdoor_Malware,3d,Backdoor_Malware,"The traffic shows low, variable packet rates with high variance in average packet size across windows, rather than the sustained high-rate flood pattern typical of DDoS/DoS attacks. TCP-flag intensity and dominant-protocol share fluctuate irregularly window-to-window, consistent with sporadic backdoor command-and-control communication rather than scanning or flooding behavior. The lack of a consistent, high-magnitude rate spike rules out volumetric attacks.",1484,186,"CLASSIFICATION: Backdoor_Malware
JUSTIFICATION: The traffic shows low, variable packet rates with high variance in average packet size across windows, rather than the sustained high-rate flood pattern typical of DDoS/DoS attacks. TCP-flag intensity and dominant-protocol share fluctuate irregularly window-to-window, consistent with sporadic backdoor command-and-control communication rather than scanning or flooding behavior. The lack of a consistent, high-magnitude rate spike rules out volumetric attacks."
BrowserHijacking_0000,BrowserHijacking,2d,BrowserHijacking,"The traffic shows variable, bursty packet rates with mixed TCP flags (ack/psh dominant, some syn/fin), a protocol mix dominated by HTTP/HTTPS with TCP underneath, and fluctuating packet sizes with occasional large spikes—consistent with interactive browser-based command-and-control activity rather than a flood or scan pattern. This matches the expected profile of BrowserHijacking traffic in the CIC-IoT-2023 dataset.",1634,189,"CLASSIFICATION: BrowserHijacking
JUSTIFICATION: The traffic shows variable, bursty packet rates with mixed TCP flags (ack/psh dominant, some syn/fin), a protocol mix dominated by HTTP/HTTPS with TCP underneath, and fluctuating packet sizes with occasional large spikes—consistent with interactive browser-based command-and-control activity rather than a flood or scan pattern. This matches the expected profile of BrowserHijacking traffic in the CIC-IoT-2023 dataset."
BrowserHijacking_0000,BrowserHijacking,3d,BrowserHijacking,"The traffic shows low, irregular packet rates with high variability in packet sizes (ranging from small to 1400+ bytes) across a moderate window sequence, consistent with sporadic browser redirection/hijacking activity rather than a flood attack. The TCP-flag intensity and protocol shares vary significantly between windows, indicating mixed application-layer traffic rather than uniform attack patterns. This irregular, low-rate, high-size-variance pattern matches the expected signature of BrowserHijacking traffic.",1484,200,"CLASSIFICATION: BrowserHijacking
JUSTIFICATION: The traffic shows low, irregular packet rates with high variability in packet sizes (ranging from small to 1400+ bytes) across a moderate window sequence, consistent with sporadic browser redirection/hijacking activity rather than a flood attack. The TCP-flag intensity and protocol shares vary significantly between windows, indicating mixed application-layer traffic rather than uniform attack patterns. This irregular, low-rate, high-size-variance pattern matches the expected signature of BrowserHijacking traffic."
BrowserHijacking_0001,BrowserHijacking,2d,BrowserHijacking,"The traffic shows a moderate, bursty rate spike (peaking ~1300 pkt/s) rather than a sustained flood, with a mixed protocol profile dominated by TCP/HTTPS/HTTP and notable ACK/PSH flag activity. The packet size spikes to very large values (up to ~3000 bytes) coinciding with the rate surge, consistent with browser-based session hijacking traffic involving large HTTP/HTTPS payloads rather than a pure DoS/DDoS flood pattern.",1634,203,"CLASSIFICATION: BrowserHijacking
JUSTIFICATION: The traffic shows a moderate, bursty rate spike (peaking ~1300 pkt/s) rather than a sustained flood, with a mixed protocol profile dominated by TCP/HTTPS/HTTP and notable ACK/PSH flag activity. The packet size spikes to very large values (up to ~3000 bytes) coinciding with the rate surge, consistent with browser-based session hijacking traffic involving large HTTP/HTTPS payloads rather than a pure DoS/DDoS flood pattern."
